strategy,ticker,signal_date,entry_date,exit_date,entry_open,exit_close,net_ret
MR_1A,ADBE,2024-09-17,2024-09-18,2024-10-01,517.010009765625,502.79998779296875,-0.027561305346890608
MR_1A,ADBE,2024-12-12,2024-12-13,2024-12-27,473.9800109863281,446.4800109863281,-0.05810126447611896
MR_1A,ADBE,2024-12-13,2024-12-16,2024-12-30,467.19000244140625,445.79998779296875,-0.04586805619840095
MR_1A,ADBE,2024-12-16,2024-12-17,2024-12-31,460.5899963378906,444.67999267578125,-0.0346280015390914
MR_1A,ADBE,2025-03-13,2025-03-14,2025-03-27,379.75,396.1499938964844,0.04307868946068516
MR_1A,ADBE,2025-03-14,2025-03-17,2025-03-28,394.1199951171875,385.7099914550781,-0.021439092116487535
MR_1A,ADBE,2025-03-17,2025-03-18,2025-03-31,395.3599853515625,383.5299987792969,-0.03002171837735057
MR_1A,ADBE,2025-04-04,2025-04-07,2025-04-21,335.5400085449219,343.2200012207031,0.02276788795217377
MR_1A,ADBE,2025-04-07,2025-04-08,2025-04-22,350.1000061035156,349.9100036621094,-0.0006569245898453424
MR_1A,ADBE,2025-04-08,2025-04-09,2025-04-23,338.739990234375,351.9599914550781,0.03890660526818546
MR_1A,ADBE,2025-06-17,2025-06-18,2025-07-02,383.989990234375,378.4700012207031,-0.014478761373573623
MR_1A,AIG,2016-06-27,2016-06-28,2016-07-12,49.849998474121094,53.86000061035156,0.07960702341490156
MR_1A,AIG,2016-06-28,2016-06-29,2016-07-13,50.41999816894531,53.810001373291016,0.06641560915853106
MR_1A,AIG,2017-02-15,2017-02-16,2017-03-02,60.79999923706055,63.900001525878906,0.05031243550154052
MR_1A,AIG,2018-05-03,2018-05-04,2018-05-17,51.56999969482422,54.790000915527344,0.06163987671087634
MR_1A,AIG,2018-10-12,2018-10-15,2018-10-26,49.75,40.91999816894531,-0.1782198479215329
MR_1A,AIG,2018-10-22,2018-10-23,2018-11-05,44.279998779296875,44.130001068115234,-0.004288887503772099
MR_1A,AIG,2018-10-23,2018-10-24,2018-11-06,44.02000045776367,44.900001525878906,0.01907359353733029
MR_1A,AIG,2018-10-24,2018-10-25,2018-11-07,42.41999816894531,44.43000030517578,0.04641852547656278
MR_1A,AIG,2018-10-26,2018-10-29,2018-11-09,41.5,43.81999969482422,0.054913287447596604
MR_1A,AIG,2018-12-06,2018-12-07,2018-12-20,39.2599983215332,38.150001525878906,-0.029276905417378263
MR_1A,AIG,2018-12-07,2018-12-10,2018-12-21,37.599998474121094,37.400001525878906,-0.006379504465086283
MR_1A,AIG,2018-12-10,2018-12-11,2018-12-24,37.61000061035156,37.33000183105469,-0.00850382073097422
MR_1A,AIG,2018-12-11,2018-12-12,2018-12-26,37.0,38.59000015258789,0.041869263981304305
MR_1A,AIG,2020-02-14,2020-02-18,2020-03-02,48.11000061035156,42.849998474121094,-0.11011847224225002
MR_1A,AIG,2020-02-18,2020-02-19,2020-03-03,49.400001525878906,41.4900016784668,-0.16086603808073696
MR_1A,AIG,2020-02-24,2020-02-25,2020-03-09,45.849998474121094,32.810001373291016,-0.2851536415073035
MR_1A,AIG,2020-02-25,2020-02-26,2020-03-10,45.4900016784668,35.06999969482422,-0.2298396308034365
MR_1A,AIG,2020-02-26,2020-02-27,2020-03-11,44.34000015258789,32.43000030517578,-0.2693868306200845
MR_1A,AIG,2020-03-06,2020-03-09,2020-03-20,34.61000061035156,19.229999542236328,-0.445278683116913
MR_1A,AIG,2020-03-09,2020-03-10,2020-03-23,34.58000183105469,19.299999237060547,-0.4427746180129942
MR_1A,AIG,2020-03-10,2020-03-11,2020-03-24,33.68000030517578,22.93000030517578,-0.32017803864360295
MR_1A,AIG,2020-03-11,2020-03-12,2020-03-25,29.65999984741211,25.719999313354492,-0.13409705372369285
MR_1A,AIG,2020-03-12,2020-03-13,2020-03-26,27.549999237060547,27.510000228881836,-0.002901668857182016
MR_1A,AIG,2020-03-13,2020-03-16,2020-03-27,23.8799991607666,25.510000228881836,0.0665272436797959
MR_1A,AIG,2020-03-16,2020-03-17,2020-03-30,23.979999542236328,25.709999084472656,0.07041664893627142
MR_1A,AIG,2020-03-17,2020-03-18,2020-03-31,20.6200008392334,24.25,0.17393406079434737
MR_1A,AIG,2020-03-18,2020-03-19,2020-04-01,18.489999771118164,21.610000610351562,0.16639658980651295
MR_1A,AIG,2020-03-19,2020-03-20,2020-04-02,20.809999465942383,21.25,0.01920309862281222
MR_1A,AIG,2020-03-20,2020-03-23,2020-04-03,18.959999084472656,20.459999084472656,0.07692308063357145
MR_1A,AIG,2020-04-01,2020-04-02,2020-04-16,21.110000610351562,23.18000030517578,0.09607191841867357
MR_1A,AIG,2020-04-02,2020-04-03,2020-04-17,21.25,24.5,0.15091678420310295
