date,equity,cash,positions,ret1d,strategy,hold_days,max_positions
2016-10-26,144092.12037928935,56838.448671759,3,-0.007930799043563863,TP_v1,5,5
2016-10-27,142620.24382456025,0.0,5,-0.010214830282563092,TP_v1,5,5
2016-10-28,143677.6704631145,29784.98573334273,4,0.0074142815227200565,TP_v1,5,5
2016-10-31,144279.01148272338,993.9887420492232,5,0.004185347783483451,TP_v1,5,5
2016-11-01,143186.4721243286,29454.688788835374,4,-0.007572406735858461,TP_v1,5,5
2016-11-02,141287.22949617208,28739.31889447012,4,-0.013264120555379177,TP_v1,5,5
2016-11-03,140082.92045730815,631.5922126735022,5,-0.008523835049766837,TP_v1,5,5
2016-11-04,138731.77310918778,772.2604946479296,5,-0.009645339658178709,TP_v1,5,5
2016-11-07,143374.30304445777,584.9578460061748,5,0.033464071216159796,TP_v1,5,5
2016-11-08,144244.99706710194,57319.20815496352,3,0.006072873619299646,TP_v1,5,5
2016-11-09,144217.85492580093,85784.99432015241,2,-0.0001881669510408468,TP_v1,5,5
2016-11-10,144785.92610205783,113757.81905137678,1,0.003938979515047958,TP_v1,5,5
2016-11-11,145027.7561800329,86860.32683530657,2,0.0016702595651778562,TP_v1,5,5
2016-11-14,145110.52991767935,86860.32683530657,2,0.0005707441101390209,TP_v1,5,5
2016-11-15,146693.4873818613,0.0,5,0.010908632647678829,TP_v1,5,5
2016-11-16,150621.04810506475,0.0,5,0.0267739270045404,TP_v1,5,5
2016-11-17,154871.71429314377,65952.44190598236,3,0.028220930882873585,TP_v1,5,5
2016-11-18,155366.48473114427,65952.44190598236,3,0.003194711443976095,TP_v1,5,5
2016-11-21,157345.13218121816,157345.13218121816,0,0.01273535572036577,TP_v1,5,5
2016-11-22,157146.35785128715,125876.10574497451,1,-0.0012633014264595843,TP_v1,5,5
2016-11-23,156958.0455382394,125876.10574497451,1,-0.0011983243876765304,TP_v1,5,5
2016-11-25,157355.59419810143,125876.10574497451,1,0.0025328339079322415,TP_v1,5,5
2016-11-28,157177.74390193698,125876.10574497451,1,-0.0011302445081206036,TP_v1,5,5
2016-11-29,157083.58774541313,157083.58774541313,0,-0.0005990425500864704,TP_v1,5,5
2016-11-30,158589.96252853886,125666.8701963305,1,0.009589638260409039,TP_v1,5,5
2016-12-01,158017.59368343727,93989.59039667447,2,-0.0036091114215288655,TP_v1,5,5
2016-12-02,160323.52602265147,0.0,5,0.014592883523044664,TP_v1,5,5
2016-12-05,164661.01131638078,0.0,5,0.027054577711299155,TP_v1,5,5
2016-12-06,165855.03825890584,712.7191779028726,5,0.00725142480894192,TP_v1,5,5
2016-12-07,167975.90649294318,33148.240657308124,4,0.012787481503736986,TP_v1,5,5
2016-12-08,167857.55740200792,134235.33408155962,1,-0.0007045599181821904,TP_v1,5,5
2016-12-09,167792.29896692233,134235.33408155962,1,-0.00038877269570469775,TP_v1,5,5
2016-12-12,167671.1067625165,167671.1067625165,0,-0.0007222751291448004,TP_v1,5,5
2016-12-13,167278.70939700305,134136.8854100132,1,-0.002340280165677,TP_v1,5,5
2016-12-14,167359.03254319134,134136.8854100132,1,0.00048017554940393836,TP_v1,5,5
2016-12-15,167153.88261430495,100708.53260431948,2,-0.0012258073303180739,TP_v1,5,5
2016-12-16,167169.71591765128,100708.53260431948,2,9.472291698342516e-05,TP_v1,5,5
2016-12-19,167163.7723253345,100440.1716046998,2,-3.555424069578983e-05,TP_v1,5,5
2016-12-20,167919.0706100808,100440.1716046998,2,0.004518313234020299,TP_v1,5,5
2016-12-21,167825.40932831037,100622.15059546544,2,-0.0005577763230234511,TP_v1,5,5
2016-12-22,167277.25016664516,67151.39140948864,3,-0.0032662465347715885,TP_v1,5,5
2016-12-23,167709.1859636088,97.16545459019108,5,0.002582155054159152,TP_v1,5,5
2016-12-27,168643.69330020458,97.16545459019108,5,0.00557218933015724,TP_v1,5,5
2016-12-28,166484.6719851257,33331.26516174343,4,-0.012802265372803379,TP_v1,5,5
2016-12-29,165946.2875143675,0.0,5,-0.003233838072530193,TP_v1,5,5
