signal_breakout_date,retest_date,entry_date,exit_date,year,entry_open,exit_close,mae,mfe,net_ret,ticker
2025-03-05,2025-03-07,2025-03-10,2025-04-04,2025,209.99000549316406,186.9600067138672,-0.11343400495788913,0.04128767056595728,-0.10985190312776705,ABBV
2025-03-07,2025-03-10,2025-03-11,2025-04-07,2025,216.66000366210938,186.5500030517578,-0.1863749847700864,0.0,-0.1391452838323165,ABBV
2025-03-10,2025-03-17,2025-03-18,2025-04-14,2025,214.47000122070312,179.10000610351562,-0.23350585884279085,0.0033104464542221823,-0.16508925784727746,ABBV
2019-02-12,2019-02-13,2019-02-14,2019-03-14,2019,74.08000183105469,78.9800033569336,-0.004589686269994453,0.0684395190268321,0.06558706350587595,ABT
2020-04-17,2020-04-20,2020-04-21,2020-05-18,2020,96.0999984741211,90.2699966430664,-0.07689905834533906,0.014047851150430946,-0.06106951648189107,ABT
2020-07-17,2020-07-21,2020-07-22,2020-08-18,2020,98.11000061035156,100.95999908447266,-0.0011211967145778878,0.04872081082010049,0.028635467814566384,ABT
2020-07-22,2020-07-27,2020-07-28,2020-08-24,2020,100.13999938964844,101.38999938964844,-0.014679461051155918,0.030856840284787967,0.012080671000134435,ABT
2020-07-23,2020-07-29,2020-07-30,2020-08-26,2020,100.9800033569336,103.19000244140625,-0.022875867609383205,0.022875792055864874,0.021485138736123677,ABT
2020-07-29,2020-07-30,2020-07-31,2020-08-27,2020,101.20999908447266,111.29000091552734,-0.025096343627148854,0.12637092215416845,0.09918010394010457,ABT
2020-11-05,2020-11-11,2020-11-12,2020-12-10,2020,112.41000366210938,106.5199966430664,-0.061293539672443,0.019660163797482255,-0.052743990268511065,ABT
2021-01-25,2021-01-26,2021-01-27,2021-02-24,2021,115.19999694824219,122.37999725341797,-0.014756918344416059,0.11579858238958196,0.06196841255240737,ABT
2021-01-29,2021-02-05,2021-02-08,2021-03-08,2021,125.0,115.62999725341797,-0.0820800170898438,0.028319946289062425,-0.0752679790960008,ABT
2021-02-08,2021-02-09,2021-02-10,2021-03-10,2021,125.79000091552734,115.87999725341797,-0.08784484435434814,0.021861772403135582,-0.07908754144903074,ABT
2021-02-10,2021-02-18,2021-02-19,2021-03-18,2021,125.25,118.11000061035156,-0.08391219270443484,0.00111775959799143,-0.05731619214216033,ABT
2021-02-11,2021-02-18,2021-02-19,2021-03-18,2021,125.25,118.11000061035156,-0.08391219270443484,0.00111775959799143,-0.05731619214216033,ABT
2021-02-12,2021-02-17,2021-02-18,2021-03-17,2021,125.47000122070312,117.62000274658203,-0.08551847654850497,0.00948435825160332,-0.06287352296893123,ABT
2025-02-05,2025-02-10,2025-02-11,2025-03-11,2025,131.1999969482422,132.66000366210938,-0.022484733360214504,0.07644816320577852,0.010821572526230616,ABT
2020-07-06,2020-07-08,2020-07-09,2020-08-05,2020,218.47000122070312,228.6999969482422,-0.02270337660160715,0.05002971856414984,0.046638270266865955,ACN
2020-07-08,2020-07-09,2020-07-10,2020-08-06,2020,219.0,230.88999938964844,-0.02506851823362588,0.054657539820562207,0.05410464519061464,ACN
2020-07-09,2020-07-10,2020-07-13,2020-08-07,2020,221.3300018310547,231.55999755859375,-0.03533189020703986,0.047621168386282164,0.04603567040092704,ACN
2020-07-10,2020-07-15,2020-07-16,2020-08-12,2020,219.77999877929688,229.75,-0.0067339873316919485,0.05792153880354922,0.04517743983553846,ACN
2020-07-17,2020-07-20,2020-07-21,2020-08-17,2020,224.89999389648438,232.6199951171875,-0.0227656525395199,0.03943979820674959,0.03414548030015374,ACN
2020-07-20,2020-07-23,2020-07-24,2020-08-20,2020,220.2100067138672,236.61000061035156,-0.0019527175035648492,0.07601829945959881,0.07428594377577258,ACN
2020-07-22,2020-07-29,2020-07-30,2020-08-26,2020,220.80999755859375,240.4499969482422,-0.004664638334700211,0.09256828344460422,0.08875605491254812,ACN
2020-11-24,2020-11-30,2020-12-01,2020-12-29,2020,251.50999450683594,257.760009765625,-0.03164880771710954,0.07820762036719264,0.024688965111158145,ACN
2021-03-11,2021-03-15,2021-03-16,2021-04-13,2021,267.2200012207031,285.2200012207031,-0.02279019650501668,0.07813788184802539,0.06720550785047918,ACN
2021-03-18,2021-03-24,2021-03-25,2021-04-22,2021,266.17999267578125,290.1600036621094,-0.0013900185114144037,0.10181083045007289,0.08993242541327162,ACN
2021-03-24,2021-03-25,2021-03-26,2021-04-23,2021,268.489990234375,291.739990234375,0.0,0.09233122070316946,0.08643998675706865,ACN
2021-12-08,2021-12-15,2021-12-16,2022-01-13,2021,413.07000732421875,361.3699951171875,-0.12794442870802203,0.010409828156789036,-0.12525118325223117,ACN
2023-05-30,2023-05-31,2023-06-01,2023-06-29,2023,305.7300109863281,308.3299865722656,-0.03182550170635112,0.07261302748079212,0.008372773487985263,ACN
2023-06-02,2023-06-07,2023-06-08,2023-07-07,2023,310.8699951171875,305.760009765625,-0.047833484577956775,0.054878237934036456,-0.016565297798088463,ACN
2024-09-26,2024-10-02,2024-10-03,2024-10-30,2024,359.54998779296875,346.57000732421875,-0.0395216018287291,0.049478540255619485,-0.036209864312275575,ACN
2024-10-03,2024-10-07,2024-10-08,2024-11-04,2024,359.5299987792969,343.8999938964844,-0.04992632678212239,0.04953688876884699,-0.04358226932558329,ACN
2024-10-04,2024-10-09,2024-10-10,2024-11-06,2024,363.55999755859375,356.1300048828125,-0.06045772674092309,0.03790295651841058,-0.020545664574348255,ACN
2025-01-28,2025-01-30,2025-01-31,2025-02-28,2025,380.75,348.5,-0.10069598512906275,0.04622457282604242,-0.08480184888515363,ACN
2025-01-31,2025-02-03,2025-02-04,2025-03-04,2025,381.510009765625,345.7799987792969,-0.10356218383338722,0.0441403787760013,-0.09375412174864495,ACN
