signal_date,entry_date,strategy,ticker,side,shares,entry_fill_est,planned_exit_date
2019-05-07,2019-05-08,TP_v2,CRM,BUY,0.00035964378033087016,157.13000061035157,2019-06-06
2019-05-07,2019-05-08,TP_v2,ADBE,BUY,0.00022454828618520081,275.8499865722656,2019-06-06
2019-05-09,2019-05-10,TP_v2,TXN,BUY,3.180047184494101e-20,111.88000061035156,2019-06-10
2019-05-10,2019-05-13,TP_v2,AAPL,BUY,0.03339751406099053,46.9475016784668,2019-06-11
2019-05-13,2019-05-14,TP_v2,AMZN,BUY,4.059459700786316e-05,91.99499847412109,2019-06-12
2019-05-13,2019-05-14,TP_v2,CSCO,BUY,7.533386082240982e-05,51.470000762939456,2019-06-12
2019-05-13,2019-05-14,TP_v2,RTX,BUY,4.209688668008477e-05,83.09740783691406,2019-06-12
2019-05-13,2019-05-14,TP_v2,AVGO,BUY,0.00011005349948591579,29.589000244140625,2019-06-12
2019-05-13,2019-05-14,TP_v2,QCOM,BUY,2.7798498773869178e-05,84.2899966430664,2019-06-12
2019-05-13,2019-05-14,TP_v2,ABT,BUY,5.100660227787268e-05,75.65999938964843,2019-06-12
2019-05-13,2019-05-14,TP_v2,AMD,BUY,6.180347675238265e-05,26.550000686645507,2019-06-12
2019-05-13,2019-05-14,MR_1A,NVDA,BUY,0.0019189602307360246,4.02124979019165,2019-05-29
2019-05-17,2019-05-20,MR_1A,TSLA,BUY,0.0005236188166638645,13.540000457763671,2019-06-04
2019-05-23,2019-05-24,TP_v2,NOW,BUY,0.013013213871573583,53.3699984741211,2019-06-24
2019-06-03,2019-06-04,MR_1A,META,BUY,0.00035467242250439036,163.7300067138672,2019-06-18
2019-06-03,2019-06-04,MR_1A,GOOGL,BUY,0.001322934655836702,52.2444987487793,2019-06-18
2019-06-03,2019-06-04,MR_1A,GOOG,BUY,0.0013439938845689026,52.165000457763675,2019-06-18
2019-06-14,2019-06-17,TP_v2,AMD,BUY,0.021767621548416737,30.27,2019-07-16
2019-06-14,2019-06-17,TP_v2,NFLX,BUY,0.028931487286676445,34.28900100708008,2019-07-16
2019-06-25,2019-06-26,MR_1A,ABBV,BUY,0.0069991144994221545,67.25999786376953,2019-07-11
2019-06-25,2019-06-26,MR_1A,FDX,BUY,0.0041559585366145345,156.4699969482422,2019-07-11
2019-06-26,2019-06-27,TP_v2,TMUS,BUY,8.942300032820636e-05,73.46999694824218,2019-07-26
2019-06-26,2019-06-27,MR_1A,BMY,BUY,9.73968934808996e-05,44.970000762939456,2019-07-12
2019-07-11,2019-07-12,TP_v2,MRK,BUY,0.015215745697800882,77.1669497680664,2019-08-09
2019-07-17,2019-07-18,TP_v2,NFLX,BUY,0.05547786652035808,32.3959994506836,2019-08-15
2019-07-25,2019-07-26,TP_v2,F,BUY,0.00010827051564870408,9.599999923706054,2019-08-23
2019-07-25,2019-07-26,MR_1A,TSLA,BUY,4.5744077289331674e-05,15.148000259399414,2019-08-09
2019-07-26,2019-07-29,MR_1A,BA,BUY,2.1831539754915664e-05,345.009990234375,2019-08-12
2019-08-09,2019-08-12,TP_v2,IBM,BUY,0.009575388820729934,129.71407653808595,2019-09-10
2019-08-14,2019-08-15,MR_1A,AMD,BUY,4.7422745511414965e-05,30.6499991607666,2019-08-29
2019-08-14,2019-08-15,MR_1A,BK,BUY,7.154532302686526e-05,42.040000457763675,2019-08-29
2019-08-14,2019-08-15,MR_1A,C,BUY,4.527231881135196e-05,61.99999954223633,2019-08-29
2019-08-15,2019-08-16,TP_v2,NOW,BUY,0.008723882429452576,51.20199920654297,2019-09-16
2019-08-15,2019-08-16,TP_v2,ADBE,BUY,0.0018807496668754703,285.5999865722656,2019-09-16
2019-08-15,2019-08-16,MR_1A,GE,BUY,0.006382628013919373,41.936572570800784,2019-08-30
2019-08-15,2019-08-16,MR_1A,CSCO,BUY,0.008359517792838072,46.439998168945316,2019-08-30
2019-08-20,2019-08-21,TP_v2,AIG,BUY,4.114222749418722e-18,53.970000762939456,2019-09-19
